zip code;latitude;longitude
2560;39.115192;-9.318248
3610;41.013926;-7.762112
4650;41.329207;-8.228936
2830;38.621862;-9.047869
6250;40.339931;-7.313259
4625;41.114913;-8.178459
4775;41.457475;-8.562519
2770;38.703105;-9.293125
3730;40.833547;-8.336373
5040;41.189681;-7.885568
4780;41.343441;-8.475179
3525;40.506476;-7.903863
3560;40.770278;-7.673993
7090;38.384607;-8.122335
2435;39.741755;-8.544232
8650;37.086315;-8.883459
3880;40.851271;-8.616469
6440;40.884434;-6.959389
2825;38.646880;-9.216980
4485;41.305094;-8.679219
4450;41.193842;-8.692453
2460;39.527852;-8.989327
2520;39.367942;-9.342581
6215;40.242881;-7.617855
4815;41.378300;-8.311039
3150;40.098708;-8.499620
1700;38.764186;-9.137862
1100;38.712897;-9.131595
2415;39.803193;-8.784930
3570;40.781143;-7.528381
2260;39.481662;-8.400389
7370;39.026166;-7.050465
8950;37.292606;-7.516823
2205;39.376780;-8.133717
2910;38.532248;-8.815854
4400;41.128891;-8.639430
2710;38.794410;-9.393320
8375;37.319149;-8.314292
2695;38.817923;-9.098772
8600;37.151891;-8.728074
6400;40.741882;-7.110123
2065;39.208580;-8.918874
4475;41.256155;-8.604218
2025;39.411266;-8.798792
5210;41.545742;-6.318913
3360;40.297571;-8.267572
4510;41.144386;-8.513146
7520;37.924813;-8.777486
3130;40.066779;-8.619553
4740;41.541186;-8.755700
2200;39.508876;-8.206231
2070;39.145789;-8.789616
2820;38.602227;-9.186732
5060;41.267672;-7.602192
5070;41.308993;-7.483558
2550;39.234897;-9.067562
3800;40.662336;-8.636136
3640;40.908838;-7.500748
4990;41.757381;-8.587506
7940;38.192753;-7.913482
8900;37.194346;-7.519277
7670;37.639777;-8.291089
4840;41.751861;-8.216133
2975;38.551475;-9.063441
4250;41.173588;-8.628253
4810;41.424233;-8.262022
1150;38.723696;-9.140383
6050;39.522843;-7.667644
2835;38.641280;-9.034202
5140;41.228000;-7.308013
1050;38.735998;-9.149952
2100;38.940196;-8.447527
3270;39.934916;-8.182597
